"","Age","Gender","Kids","Education","WorkStatus","AnnualIncome","CurrentOccu","CurJobYears","CurJobMonths","CommunitySize","CountryOfRes","MaritalStatus","Sons","Daughters","DP1","DP2","DP3","DP4","DP5","AIP1","AIP2","AIP3","AIP4","AIP5","AIP6","AIP7","AIP8","AIP9","AIP10","AIP11","AIP12","AIP13","AIP14","AIP15","GP1","GP2","GP3","GP4","GP5","GP6","GP7","GP8","GP9","GP10","GP11","GP12","GP13","GP14","GP15","GP16","GP17","GP18","GP19","GP20","SWLS1","SWLS2","SWLS3","SWLS4","SWLS5","YouProcast","OthersThinkU","DPMean","AIPMean","GPMean","SWLSMean"
"11",32.5,"Male","Yes Kids","dip","full-time",25000,"other",6,0,"Rural/Country","Antigua","Divorced",2,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,4,4,2,4,2,4,2,2,3,3,4,4,4,2,2,4,2,4,2,2,2,2,2,"yes","yes",3,3,3,2
"12",55,"Male","Yes Kids","phd","full-time",35000,"other",0,0,"Village","Vietnam","Married",0,2,3,3,4,2,2,4,3,2,4,4,4,4,2,4,4,1,2,4,4,4,3,4,2,2,4,2,3,3,4,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,"no","yes",2.5,3.33333333333333,3.35,4
"13",25,"Male","No Kids","deg","full-time",15000,"other",0,0,"Small Town","Lithuania","Single",0,0,5,5,5,4,4,1,1,4,1,2,5,5,4,4,5,4,3,1,1,5,4,3,4,4,1,4,3,5,2,1,2,4,3,2,4,5,5,4,5,4,5,5,4,5,5,"yes","yes",4.5,3.06666666666667,3.45,4.8
"14",28,"Male","No Kids","grade","full-time",150000,"other",1,3,"Small Town","Saudi Arabia","Single",0,0,5,4,5,4,4,2,4,3,5,4,5,4,3,4,4,5,3,5,4,4,4,3,4,4,3,3,3,5,4,5,4,4,3,3,4,3,4,4,3,3,3,3,4,2,2,"yes","yes",4.5,3.93333333333333,3.65,2.8
"15",55,"Male","Yes Kids","ltuni","full-time",250000,"other",NA,0,"Small Town","Saudi Arabia","Separated",1,1,2,2,1,1,1,2,2,3,2,1,2,2,3,2,2,4,3,3,2,2,2,2,3,3,2,3,2,3,2,1,5,2,2,2,3,2,2,3,2,3,2,1,3,2,1,"no","yes",1.5,2.33333333333333,2.45,1.8
"16",55,"Female","Yes Kids","phd","full-time",10000,"other",NA,0,"Small Town","Bulgaria","Widowed",1,0,4,4,3,3,3,2,1,1,3,2,3,2,4,1,4,4,2,3,2,2,4,3,1,4,3,2,4,3,4,3,3,4,2,2,3,3,3,3,4,1,1,3,2,3,2,"yes","no",3.5,2.4,2.95,2.2
"17",28,"Female","No Kids","ltuni","unemployed",10000,"other",0,0,"Village","Bulgaria","Married",0,0,5,5,5,5,4,1,1,3,1,5,5,5,4,5,5,5,3,2,1,2,5,3,4,3,4,2,5,4,5,5,1,5,3,3,5,2,5,5,5,5,1,1,1,1,1,"yes","yes",4.5,3.2,3.95,1
"18",55,"Female","No Kids","phd","full-time",10000,"other",5,0,"Small Town","Macedonia","Married",0,0,4,4,4,2,2,3,2,5,2,4,4,3,4,3,4,3,2,3,2,3,4,3,2,2,3,2,3,3,4,4,3,4,3,4,4,4,4,5,5,4,3,3,2,3,2,"yes","no",3,3.13333333333333,3.5,2.6
"19",28,"Female","Yes Kids","deg","full-time",NA,"other",8,9,"Small Town","Sri Lanka","Married",0,1,5,4,5,4,4,2,2,2,3,4,5,3,4,4,5,4,5,4,4,5,1,3,4,5,1,4,4,3,5,4,5,4,3,4,5,5,4,5,4,4,5,4,3,4,2,"yes","no",4.5,3.73333333333333,3.85,3.6
"20",45,"Male","Yes Kids","ma","full-time",55000,"other",1,0,"Village","Ecuador","Married",2,1,4,4,4,4,4,4,2,2,3,4,2,2,3,2,3,4,1,2,1,3,4,1,3,2,4,3,4,4,4,2,2,3,2,2,4,4,2,3,4,3,2,3,2,3,2,"yes","yes",4,2.53333333333333,3,2.4
"21",45,"Male","Yes Kids","deg","full-time",35000,"other",5,0,"Village","Ecuador","Married",2,2,5,5,4,4,4,3,5,4,5,5,4,5,5,5,5,5,5,4,5,4,5,4,5,3,5,4,5,5,5,4,5,5,5,4,5,5,5,5,4,4,3,3,3,3,2,"yes","yes",4.5,4.6,4.6,2.8
"22",37.5,"Male","Yes Kids","dip","full-time",10000,"other",3,0,"Village","Ecuador","Divorced",1,0,4,4,4,4,4,5,3,5,5,4,4,3,4,2,4,5,4,5,5,4,4,4,4,4,2,3,4,4,4,3,3,3,4,4,4,4,4,4,2,3,3,2,3,2,1,"yes","no",4,4.13333333333333,3.55,2.2
"23",55,"Male","No Kids","deg","full-time",87500,"other",0,6,"Large Town","Afghanistan","Married",0,0,3,3,3,4,3,3,2,2,2,3,2,3,3,2,3,4,2,4,2,3,4,2,4,3,3,3,3,4,4,2,2,3,2,4,3,4,3,3,4,4,3,2,2,3,2,"yes","no",3,2.66666666666667,3.2,2.4
"24",55,"Female","Yes Kids","deg","full-time",10000,"other",7,0,"Village","Afghanistan","Divorced",4,0,4,3,4,3,2,1,2,1,4,3,5,4,4,3,3,3,4,3,3,3,3,2,2,5,3,3,3,5,3,1,2,3,1,1,3,3,3,4,3,3,1,1,1,3,1,"no","yes",3,3.06666666666667,2.8,1.4
"25",80,"Female","No Kids","grade","unemployed",10000,"other",0,0,"Medium-Sized","Afghanistan","Single",0,0,2,3,2,3,5,2,2,3,4,2,2,2,1,1,3,5,4,3,3,4,4,4,1,4,4,4,4,3,2,2,3,3,2,3,2,4,4,4,3,4,2,4,3,3,2,"yes","no",3.5,2.73333333333333,3.2,2.8
"26",55,"Male","Yes Kids","ma","full-time",150000,"other",0,0,"Large Town","Afghanistan","Married",4,2,4,4,4,3,3,3,4,5,4,3,4,3,5,4,3,5,5,1,5,4,4,4,5,3,1,3,4,4,4,4,4,4,3,4,4,4,4,4,3,4,3,3,2,2,2,"yes","yes",3.5,3.86666666666667,3.7,2.4
"27",20,"Male","No Kids","high","student",NA,"other",0,0,"Village","Panama","Single",0,0,5,5,5,5,5,1,5,4,5,5,5,5,5,2,5,4,3,5,1,5,5,3,2,1,5,1,5,5,5,5,5,5,1,1,5,5,5,5,5,5,1,3,1,4,1,"yes","no",5,4,3.95,2
"28",45,"Female","No Kids","phd","full-time",87500,"other",10,6,"Small Town","Guam","Divorced",0,0,4,4,4,4,4,1,1,1,2,3,4,2,5,3,4,2,2,2,2,2,4,2,2,5,1,2,5,3,4,2,2,5,1,2,4,4,1,2,4,3,2,3,2,4,2,"yes","no",4,2.4,2.9,2.6
"29",37.5,"Male","Yes Kids","ma","full-time",10000,"other",0,0,"Small Town","Pakistan","Married",1,1,3,4,4,3,3,1,1,4,3,4,4,4,3,2,3,3,3,3,2,2,4,2,2,3,4,3,3,3,3,2,3,3,3,5,3,4,3,3,3,4,4,4,4,4,4,"yes","yes",3,2.8,3.15,4
"30",23,"Female","No Kids","deg","full-time",35000,"other",0,3,"Village","Kenya","Single",0,0,5,5,5,1,1,1,5,5,5,4,2,4,4,5,4,1,4,1,5,5,4,2,4,5,3,3,3,5,4,4,2,4,2,2,4,5,1,4,4,4,3,3,3,2,3,"yes","yes",3,3.66666666666667,3.45,2.8
"31",32.5,"Female","No Kids","ltuni","full-time",55000,"other",6,9,"Village","Guyana","Single",0,0,2,2,3,1,1,1,3,3,3,1,3,2,2,1,1,3,3,3,3,2,2,3,3,3,3,4,3,3,3,2,4,3,3,3,3,1,3,3,3,3,4,4,4,3,3,"no","no",1.5,2.26666666666667,2.9,3.6
"32",23,"Male","No Kids","ma","student",10000,"other",0,9,"Village","Puerto Rico","Single",0,0,5,5,5,5,5,3,4,3,5,4,5,5,5,5,5,5,5,4,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,1,1,1,"yes","yes",5,4.53333333333333,4.95,1
"33",55,"Female","Yes Kids","phd","full-time",67500,"other",NA,0,"Small Town","Puerto Rico","Married",0,2,5,5,5,4,4,5,2,1,4,5,2,5,4,5,5,3,2,4,4,4,5,3,2,2,4,3,5,3,4,4,3,5,3,2,5,5,4,5,5,5,2,4,3,3,2,"yes","yes",4.5,3.66666666666667,3.85,2.8
"34",32.5,"Female","Yes Kids","phd","unemployed",NA,"other",5,0,"Medium-Sized","Puerto Rico","Married",3,0,5,5,5,5,5,1,2,4,4,5,5,5,5,3,5,1,4,5,3,5,5,4,3,1,5,5,4,5,5,5,5,5,1,3,5,5,5,4,5,1,2,1,2,4,1,"yes","yes",5,3.8,4.05,2
"35",37.5,"Male","Yes Kids","deg","full-time",150000,"other",2,0,"Medium-Sized","Bermuda","Married",1,2,3,3,3,3,3,2,2,3,3,3,3,3,3,2,3,2,3,3,3,3,3,2,2,3,2,2,2,2,3,2,3,3,3,2,3,3,2,3,3,3,3,4,3,4,3,"yes","yes",3,2.73333333333333,2.55,3.4
"36",19,"Male","No Kids","ltuni","full-time",150000,"other",1,0,"Small Town","Bermuda","Single",0,0,4,1,1,1,1,1,1,1,1,1,2,3,2,5,3,2,1,3,1,3,4,1,4,4,1,3,3,1,4,5,3,1,4,4,3,5,3,2,2,4,5,2,1,1,1,"yes","yes",2.5,2,3.05,2
"37",20,"Male","No Kids","ltuni","student",10000,"other",0,0,"Large-City","Croatia","Single",0,0,3,4,1,1,1,3,2,3,4,3,4,4,3,2,4,3,3,2,1,2,3,1,1,4,2,2,1,5,4,2,3,3,1,3,4,3,1,3,2,5,3,4,4,3,3,"yes","no",2,2.86666666666667,2.65,3.4
"38",28,"Male","No Kids","deg","full-time",15000,"other",1,0,"Village","Croatia","Single",0,0,5,4,3,3,2,1,1,3,2,2,4,2,3,2,5,2,2,1,2,1,4,2,3,5,4,3,4,4,3,2,2,3,5,4,4,4,3,4,3,4,4,4,3,5,4,"yes","no",3.5,2.2,3.5,4
"39",45,"Female","Yes Kids","deg","part-time",NA,"other",10,0,"Village","Croatia","Married",1,2,4,4,4,3,2,1,1,2,1,1,1,4,4,2,3,5,1,2,1,2,4,2,1,2,3,2,3,2,4,1,4,2,2,3,3,3,3,4,3,3,2,3,4,3,5,"yes","yes",3,2.06666666666667,2.7,3.4
"40",37.5,"Female","No Kids","deg","full-time",35000,"other",2,10,"Village","Croatia","Married",0,0,2,2,2,2,2,1,2,1,4,2,2,4,5,2,4,2,3,2,3,4,4,2,2,4,4,2,4,2,4,2,4,4,2,2,4,4,2,4,2,2,4,4,5,5,5,"yes","no",2,2.73333333333333,3,4.6
"41",28,"Male","No Kids","ltuni","unemployed",NA,"other",0,0,"Large-City","Taiwan","Single",0,0,5,5,5,5,5,5,5,5,3,5,5,5,5,1,5,5,5,5,5,5,5,5,5,5,5,5,3,5,5,5,5,5,3,5,5,5,5,5,5,5,1,1,1,1,3,"yes","yes",5,4.6,4.8,1.4
"42",32.5,"Male","No Kids","deg","full-time",87500,"financial analyst",0,6,"Large-City","Hungary","Single",0,0,3,3,2,2,2,2,3,3,3,2,2,2,3,2,2,3,3,2,4,2,3,2,2,3,2,1,2,3,2,2,4,3,1,2,3,3,1,3,1,3,3,4,3,3,2,"yes","no",2.5,2.53333333333333,2.3,3
"43",55,"Female","No Kids","ltuni","full-time",35000,"language trainer",14,0,"Large Town","Austria","Married",0,0,5,5,4,4,4,3,1,1,2,4,4,5,4,5,5,1,3,2,2,5,5,5,3,3,4,2,5,3,5,2,4,4,3,4,4,4,3,3,5,4,3,4,4,4,2,"yes","yes",4.5,3.13333333333333,3.75,3.4
"44",32.5,"Male","No Kids","deg","part-time",35000,"editor",0,2,"Medium-Sized","Austria","Married",0,0,4,4,4,3,3,1,2,2,3,2,4,4,4,2,2,4,3,3,2,3,4,3,4,4,2,3,2,4,4,3,4,5,2,2,4,4,3,3,3,2,3,3,2,3,2,"yes","yes",3.5,2.73333333333333,3.25,2.6
"45",37.5,"Female","No Kids","ltuni","part-time",15000,"other",10,0,"Village","Austria","Married",0,0,4,4,5,4,4,3,3,5,4,5,2,5,5,5,5,5,3,5,4,4,5,5,4,4,2,3,4,5,5,3,5,5,4,4,5,4,4,5,5,5,2,2,2,2,1,"yes","yes",4,4.2,4.3,1.8
"46",80,"Female","Yes Kids","phd","full-time",250000,"ouh",30,11,"Large-City","Brunei","Separated",10,10,5,5,5,5,5,1,1,1,5,5,5,5,1,5,5,1,1,1,5,5,5,5,1,1,5,1,5,1,5,5,1,5,1,1,1,5,5,1,5,1,5,5,5,5,5,"yes","yes",5,3.13333333333333,3,5
"47",80,"Male","Yes Kids","ltuni","retired",250000,"retired",14,7,"Medium-Sized","Kazakhstan","Married",0,7,5,1,5,4,4,1,1,1,1,2,3,1,2,2,1,1,1,2,3,3,5,3,2,1,4,1,5,4,3,1,5,2,2,4,2,4,3,4,4,3,3,4,3,5,2,"yes","yes",4.5,1.66666666666667,3.1,3.4
"48",45,"Female","Yes Kids","high","part-time",10000,"software sales",30,0,"Small Town","Malta","Married",2,1,4,1,1,1,1,1,3,2,4,2,1,5,1,1,2,1,5,1,4,4,2,1,1,1,4,2,1,1,3,3,5,5,1,1,1,2,4,1,1,3,4,3,3,4,1,"yes","yes",2.5,2.46666666666667,2.15,3
"49",32.5,"Female","No Kids","ma","full-time",67500,"other",2,0,"Rural/Country","Malta","Single",0,0,3,3,2,2,2,3,3,4,4,4,4,2,3,2,4,4,3,3,3,2,4,1,1,4,4,1,2,2,2,3,3,3,3,1,3,3,4,3,3,3,1,3,3,2,1,"yes","no",2.5,3.2,2.65,2
"50",45,"Female","No Kids","deg","full-time",NA,"civil servant",17,0,"Small City","Luxembourg","Separated",0,0,2,2,5,2,2,1,1,2,2,1,2,2,4,1,4,1,2,1,2,2,4,1,1,2,1,1,4,2,3,2,4,3,1,2,3,1,2,3,3,3,2,4,3,3,4,"yes","yes",2,1.86666666666667,2.3,3.2
"51",25,"Female","No Kids","deg","full-time",15000,"other",2,0,"Small Town","Singapore","Single",0,0,3,2,1,2,2,2,2,2,3,3,2,2,3,2,2,3,3,4,3,2,2,2,4,2,3,2,1,2,3,2,3,3,2,3,3,4,3,3,2,3,3,3,3,2,3,"yes","no",2.5,2.53333333333333,2.6,2.8
"52",28,"Male","No Kids","deg","full-time",25000,"other",4,0,"Village","Singapore","Single",0,0,5,5,5,5,5,4,1,3,5,5,5,5,5,5,5,4,4,4,4,5,5,5,5,5,3,1,5,5,5,5,4,5,1,3,5,5,5,5,5,5,1,1,1,1,1,"yes","no",5,4.26666666666667,4.35,1
"53",45,"Male","No Kids","ma","full-time",150000,"other",6,0,"Village","Singapore","Single",0,0,3,2,3,3,3,2,1,3,3,2,2,4,3,2,4,1,2,3,2,3,4,3,3,3,3,2,4,3,3,4,3,4,3,3,2,4,4,3,4,3,3,3,3,2,4,"no","no",3,2.46666666666667,3.25,3
"54",28,"Male","No Kids","deg","full-time",25000,"other",0,3,"Village","Singapore","Single",0,0,4,4,4,4,3,2,4,3,5,4,3,4,4,4,4,4,5,4,5,4,4,3,4,4,3,4,3,4,3,3,2,4,2,3,4,3,4,5,3,3,2,2,3,1,2,"yes","yes",3.5,3.93333333333333,3.4,2
"55",37.5,"Male","Yes Kids","ma","full-time",150000,"economy",7,0,"Large-City","Venezuela","Divorced",1,1,2,2,2,2,2,4,4,4,2,2,2,2,4,2,2,4,4,4,2,2,2,2,4,4,2,4,2,4,2,2,4,2,4,4,4,2,2,4,2,4,2,2,2,2,2,"yes","",2,2.93333333333333,3,2
"56",45,"Male","Yes Kids","dip","full-time",35000,"sales manager",4,0,"Small City","Venezuela","Married",2,1,3,3,4,4,4,4,4,3,4,4,3,4,4,3,4,4,4,3,4,4,4,3,3,4,2,2,4,3,4,4,4,2,5,3,4,1,2,4,3,3,3,4,4,4,4,"yes","yes",3.5,3.73333333333333,3.2,3.8
"57",28,"Female","No Kids","ma","part-time",25000,"other",0,0,"Large-City","Uruguay","Single",0,0,4,4,1,1,1,1,1,1,5,4,5,4,4,2,5,3,1,3,1,2,1,2,2,2,2,2,4,2,5,3,3,4,2,3,5,3,3,2,4,2,5,5,5,4,5,"yes","no",2.5,2.8,2.8,4.8
"58",24,"Male","No Kids","high","student",NA,"other",0,0,"Village","Uruguay","Single",0,0,5,5,5,5,5,4,3,3,4,5,3,5,5,5,5,3,3,4,3,5,5,1,3,5,5,3,5,5,5,3,3,5,4,4,5,3,3,5,5,5,1,1,2,2,1,"yes","yes",5,4,4.1,1.4
"59",32.5,"Male","No Kids","dip","part-time",10000,"other",0,3,"Small Town","Uruguay","Single",0,0,5,5,5,4,4,1,3,5,4,4,5,5,5,4,5,2,5,5,5,2,4,4,3,5,4,2,5,4,5,2,4,5,4,2,5,4,5,5,5,5,3,5,4,5,3,"yes","yes",4.5,4,4.1,4
"60",32.5,"Female","No Kids","deg","full-time",67500,"manager",3,0,"Large-City","Argentina","Single",0,0,2,1,2,2,2,1,1,1,1,5,4,1,2,2,2,3,1,2,1,1,3,2,1,4,3,2,2,2,3,5,4,1,1,1,2,2,2,2,3,2,3,4,3,4,4,"yes","no",2,1.86666666666667,2.35,3.6
"61",67.5,"Male","Yes Kids","Other","part-time",150000,"business consulta",12,0,"Small Town","Argentina","Married",3,0,3,3,3,3,3,1,2,4,4,3,2,3,3,3,3,1,3,2,3,3,3,3,3,1,2,1,2,2,3,4,2,3,2,4,3,5,3,2,2,2,3,3,4,4,3,"","no",3,2.66666666666667,2.6,3.4
"62",45,"Male","Yes Kids","deg","full-time",55000,"other",7,0,"Village","Argentina","Married",1,2,4,4,4,3,2,1,1,3,4,3,5,5,3,4,3,2,3,3,3,2,4,3,1,3,2,2,2,3,4,2,2,4,3,3,4,3,2,4,4,4,4,4,3,4,3,"yes","yes",3,3,2.95,3.6
"63",37.5,"Male","No Kids","deg","full-time",67500,"other",17,0,"Large-City","Egypt","Married",0,0,3,2,1,1,1,4,3,3,3,3,3,3,3,2,5,5,2,5,4,4,5,5,4,1,1,4,5,3,3,5,1,4,2,3,4,5,5,2,3,1,3,3,3,4,1,"yes","yes",2,3.46666666666667,3.3,2.8
"64",22,"Female","No Kids","deg","full-time",10000,"copy writer",0,3,"Large-City","Nicaragua","Single",0,0,4,4,4,3,3,3,3,4,4,3,2,4,3,3,3,3,5,4,5,4,4,2,3,5,4,3,3,4,4,4,2,4,3,3,3,4,4,3,3,2,4,4,4,3,4,"yes","yes",3.5,3.53333333333333,3.35,3.8
"65",45,"Male","No Kids","ma","full-time",67500,"gender/public health consultant",3,0,"Large-City","Myanmar","Married",0,0,3,1,1,1,1,2,2,5,4,3,5,5,5,4,5,5,2,3,1,2,5,3,5,1,4,2,5,3,5,1,4,5,4,5,5,5,2,5,3,5,5,5,3,3,1,"yes","yes",2,3.53333333333333,3.85,3.4
"66",45,"Male","No Kids","ltuni","full-time",150000,"chairman of the board",2,1,"Large Town","Peru","Married",0,0,4,4,4,3,3,2,2,4,3,4,5,5,4,4,4,3,2,3,2,4,4,3,4,2,4,3,4,3,4,4,4,4,3,4,4,5,5,4,4,3,3,3,2,3,2,"yes","yes",3.5,3.4,3.75,2.6
"67",45,"Female","No Kids","deg","full-time",45000,"other",0,0,"Village","Peru","Divorced",0,0,2,1,1,1,1,1,1,1,3,1,1,2,2,1,3,2,2,2,2,2,3,1,1,1,2,1,3,1,4,2,2,3,2,1,2,4,3,1,2,1,5,5,5,5,5,"yes","no",1.5,1.73333333333333,2,5
"68",67.5,"Male","Yes Kids","deg","part-time",87500,"media consultant",4,0,"Large-City","Albania","Divorced",0,2,4,3,2,2,1,4,1,5,1,2,1,1,3,2,3,3,1,3,1,5,4,1,2,2,3,2,2,2,4,1,2,4,4,4,4,4,4,3,4,4,3,4,3,5,4,"yes","no",2.5,2.4,3,3.8
"69",45,"Female","No Kids","ltuni","full-time",150000,"other",0,0,"Large Town","Albania","Single",0,0,3,3,5,3,3,3,1,2,1,2,2,2,2,1,2,3,2,2,1,5,5,3,2,2,5,4,5,5,5,1,3,4,5,5,5,4,3,4,4,4,3,3,3,4,2,"yes","no",3,2.06666666666667,3.9,3
"70",22,"Female","No Kids","deg","full-time",15000,"social policy analyst",1,3,"Large-City","Dominican Republic","Single",0,0,5,5,3,3,3,3,5,4,5,5,5,5,4,5,5,4,4,4,5,5,5,3,1,4,4,3,3,4,4,2,2,4,3,3,4,3,3,4,4,5,2,4,3,4,3,"yes","yes",4,4.53333333333333,3.4,3.2
"71",80,"Male","No Kids","ma","retired",45000,"retired",17,0,"Medium-Sized","Andorra","Single",0,0,2,1,1,2,1,1,1,3,2,1,1,1,1,3,1,2,2,1,1,1,3,3,1,1,1,1,2,1,3,1,5,3,2,2,1,4,4,1,1,1,4,4,4,4,4,"no","no",1.5,1.46666666666667,2.05,4
"72",55,"Male","Yes Kids","ma","full-time",250000,"finance",23,0,"Large-City","Andorra","Married",0,5,2,2,2,2,2,1,2,3,2,2,2,2,3,2,2,4,4,3,2,2,3,2,2,2,2,2,3,3,3,2,2,3,2,2,2,3,4,3,2,4,3,4,4,4,3,"no","no",2,2.4,2.55,3.6
"73",45,"Female","No Kids","deg","full-time",55000,"translator",14,0,"Medium-Sized","Slovenia","Single",0,0,5,5,5,5,5,4,2,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,4,2,3,5,4,4,4,4,3,3,5,3,4,4,5,4,3,3,4,4,3,"yes","yes",5,3.8,3.75,3.4
"74",32.5,"Male","Yes Kids","ma","full-time",45000,"manager",2,0,"Medium-Sized","Slovenia","Married",2,0,4,4,5,5,5,1,1,1,2,5,5,4,5,4,5,4,2,1,2,3,4,3,3,1,3,4,4,4,5,3,2,4,1,3,5,4,4,4,5,3,2,2,2,3,2,"yes","yes",4.5,3,3.45,2.2
"75",21,"Male","No Kids","ltuni","student",10000,"please specify",2,7,"Medium-Sized","Slovenia","Single",0,0,5,5,4,4,4,4,5,5,4,3,5,4,5,4,5,4,4,4,4,4,5,4,4,5,5,3,4,4,4,4,1,4,4,4,5,5,4,5,3,4,4,4,4,4,4,"yes","yes",4.5,4.26666666666667,4.05,4
"76",21,"Female","No Kids","ltuni","student",NA,"other",0,0,"Village","Slovenia","Single",0,0,1,3,1,1,1,1,1,1,2,1,1,2,3,1,3,1,1,3,1,1,5,1,1,3,2,2,4,2,1,2,5,3,1,3,4,2,2,4,5,5,4,4,5,5,5,"no","no",1,1.53333333333333,2.85,4.6
"77",21,"Female","No Kids","ltuni","student",10000,"other",0,0,"Small City","Slovenia","Single",0,0,4,5,3,3,3,1,1,1,1,2,1,3,5,1,5,5,1,3,1,5,5,4,2,5,1,1,5,2,5,1,5,5,3,3,4,4,2,5,5,5,2,4,1,1,1,"yes","yes",3.5,2.4,3.6,1.8
"78",21,"Male","No Kids","ltuni","student",10000,"other",0,0,"Small Town","Slovenia","Single",0,0,5,5,5,5,5,4,1,3,4,4,5,5,4,3,5,3,1,5,1,4,5,3,5,4,5,4,5,4,5,2,2,5,5,4,5,4,5,5,5,4,1,1,2,2,1,"yes","yes",5,3.46666666666667,4.3,1.4
"79",37.5,"Male","No Kids","ma","full-time",67500,"technical director",1,2,"Large-City","Russia","Married",0,0,4,4,4,3,4,2,3,4,3,3,4,2,3,2,3,3,2,2,4,5,2,1,2,2,3,1,2,3,4,4,2,4,4,2,4,4,1,3,1,2,2,3,3,2,1,"yes","no",4,3,2.55,2.2
"80",23,"Female","No Kids","deg","student",NA,"other",3,0,"Small Town","Barbados","Single",0,0,1,3,2,1,1,1,2,1,1,1,3,1,5,1,1,1,3,1,4,1,3,1,1,1,1,1,1,5,1,3,2,1,2,3,2,1,1,2,4,2,1,3,3,1,2,"no","no",1,1.8,1.9,2
